step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,A3_stopped,A3_accumulated_waiting_time,A3_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,C3_stopped,C3_accumulated_waiting_time,C3_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,D3_stopped,D3_accumulated_waiting_time,D3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
100.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
105.0,1,0.0,0.0,2.9955423315055665,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.534742858727515,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0
110.0,0,0.0,0.0,8.838336075760541,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9484537892806275,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7232126883696928,0,0.0,0.5455648745884311,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
115.0,1,0.0,0.0,7.6138585902307705,0,0.0,0.4250749875328803,0,0.0,1.0,0,0.0,1.0,0,0.0,0.942755788727751,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9592902709951145,0,0.0,0.7669471623325335,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.35994624872704134,1,0.0
120.0,0,0.0,0.0,10.10253190049446,0,0.0,0.9590251566312744,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5882797224312104,0,0.0,0.6223801050652065,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9726584832122086,0,0.0,0.9265856041180894,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.1744438054294942,0,0.0,0.9536727714617307,0,0.0
125.0,0,0.0,0.0,13.135835989150268,0,0.0,0.9958612565968384,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9031961171286329,0,0.0,0.9652986452214606,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9919800172354314,0,0.0,0.9749978063893603,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.836277951662549,0,0.0,0.9964953826828107,0,0.0
130.0,0,0.0,0.0,12.546911834659713,0,0.0,0.9927491299740968,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9621294463237144,0,0.0,0.9766938346820565,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3805713479134047,0,0.0,0.9701081013578927,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9371357961860621,0,0.0,0.993860086943767,0,0.0
135.0,1,3.0,0.3333333333333333,10.05309880200623,0,0.0,0.9123345762427696,0,0.0,1.0,0,0.0,0.9875992412307874,0,0.0,0.9478950176632315,0,0.0,0.9931636914802929,0,0.0,1.0,0,0.0,1.0,1,3.0,0.0006681662259390107,0,0.0,0.9129234632578852,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9120598202733387,0,0.0,0.11025980744376912,1,3.0
140.0,4,10.0,0.7692307692307693,5.436369172250317,0,0.0,1.0,1,0.0,0.0,0,0.0,0.9291015706183918,0,0.0,0.3154327713236175,0,0.0,0.6758633573932246,0,0.0,0.9913466112784437,0,0.0,1.0,1,8.0,0.0,1,2.0,0.030440461605063134,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9250682782634884,0,0.0,1.0,4,10.0
145.0,4,25.0,1.7857142857142858,7.353684868773448,0,0.0,1.0,0,0.0,0.4162856118494841,0,0.0,0.9208391125541573,1,1.0,0.5382116918401421,0,0.0,0.9436417925108848,0,0.0,0.9505262798345833,0,0.0,1.0,1,13.0,0.0,2,11.0,3.839662513722566e-05,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6324500415821942,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0740051876584562,0,0.0,1.0,4,25.0
150.0,3,33.0,2.2,9.511785395195078,0,0.0,1.0,0,0.0,0.8697752298094683,0,0.0,0.8892625334138731,1,6.0,0.5622299338320794,0,0.0,0.9370738426985151,0,0.0,0.9447606438153675,0,0.0,1.0,1,18.0,0.0,1,9.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.964399311273175,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,1.0,0.5466078053974218,3,34.0
155.0,4,48.0,3.0,10.276813929214393,0,0.0,1.0,0,0.0,0.9941995179835326,1,0.0,0.4528216279644341,1,11.0,0.7136608782742929,0,0.0,0.9119731540865577,0,0.0,0.922726152306973,0,0.0,1.0,1,23.0,0.0,1,14.0,0.0,0,2.0,0.9530491938408611,0,0.0,1.0,0,0.0,0.9760898229422109,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,1.0,0.9545405328224909,4,51.0
160.0,3,63.0,3.9375,8.868590078029086,0,0.0,1.0,0,0.0,0.9140394423812321,0,0.0,0.6190759778778494,1,16.0,0.5737331514414623,0,0.0,0.32695167986236506,0,0.0,1.0,0,0.0,0.9640304753298331,1,28.0,0.0,1,19.0,0.0,0,2.0,0.9474106076824615,0,0.0,1.0,0,0.0,0.9929865190219851,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,1.0,0.7325820400535441,3,66.0
