step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,A3_stopped,A3_accumulated_waiting_time,A3_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,C3_stopped,C3_accumulated_waiting_time,C3_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,D3_stopped,D3_accumulated_waiting_time,D3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
105.0,1,0.0,0.0,2.8002338482066995,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4163583416236291,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0
110.0,0,0.0,0.0,9.307363150517961,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9368108191987953,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6466647632615711,0,0.0,0.5139597425472562,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
115.0,1,0.0,0.0,8.168505763187891,0,0.0,0.4120607235854087,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9743015093655203,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9694309559883686,0,0.0,0.8143840118220406,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4127778644843596,1,0.0
120.0,0,0.0,0.0,10.025330826476901,0,0.0,0.9429606078626388,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6408195576213771,0,0.0,0.6740889856145159,0,0.0,1.0,0,0.0,1.0,0,0.0,0.980633590077248,0,0.0,0.9283216593262839,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.1332049565424369,0,0.0,0.9428613378312777,0,0.0
125.0,0,0.0,0.0,12.683527850126007,0,0.0,0.9779054519013909,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9800508619221401,0,0.0,0.9682150082346392,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9221884523959536,0,0.0,0.9715368462135667,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7903719295891755,0,0.0,0.9778669990637909,0,0.0
130.0,0,0.0,0.0,11.466933731617466,0,0.0,0.9796395785093226,0,0.0,1.0,0,0.0,0.9538733558516822,0,0.0,0.957388297714715,0,0.0,0.9798632505587987,0,0.0,1.0,0,0.0,1.0,0,0.0,0.02138203558402553,0,0.0,0.9695457537403844,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9971444749838069,0,0.0,0.9796041437053359,0,0.0
135.0,1,5.0,0.5555555555555556,10.94590452884411,0,0.0,0.9316399461440885,0,0.0,1.0,0,0.0,0.9554337939300771,0,0.0,0.9077195240324357,0,0.0,0.9190933351103967,0,0.0,1.0,0,0.0,1.0,1,5.0,8.671206376926416e-06,0,0.0,0.9466918197290327,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9250020500849591,0,0.0,0.9315209738963869,1,5.0
140.0,5,12.0,0.9230769230769231,4.584102809845185,1,1.0,0.0021858558887411826,1,0.0,0.0,0,0.0,0.9968451815212463,0,0.0,0.45774869259657863,0,0.0,0.15128786756254078,0,0.0,1.0,0,0.0,1.0,1,10.0,0.0,0,0.0,0.10752996817264737,0,0.0,0.933088320351163,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9419973357073985,1,1.0,0.0021896601014877635,5,12.0
145.0,3,23.0,1.6428571428571428,6.369936840380971,0,0.0,1.0,0,0.0,0.4071973816042108,0,0.0,0.9171413603737069,0,0.0,0.6141826445512507,1,5.0,0.3375885406496395,0,0.0,1.0,0,0.0,1.0,1,15.0,0.0,1,3.0,3.764928814098586e-05,0,0.0,0.9453182501372657,0,0.0,1.0,0,0.0,0.7675154713771356,0,0.0,1.0,0,0.0,1.0,0,0.0,0.014358904937642077,0,0.0,1.0,3,23.0
150.0,4,43.0,2.8666666666666667,8.22669752442433,0,0.0,1.0,0,0.0,0.869074825715512,0,0.0,0.6188910385249278,1,5.0,0.5932118663542205,1,10.0,0.4779469014010662,0,0.0,1.0,0,0.0,1.0,1,20.0,0.0,1,8.0,0.0,0,0.0,0.8934898382617944,0,0.0,1.0,0,0.0,0.963718118634144,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,1.0,0.49969714107382435,4,44.0
155.0,5,55.0,3.4375,8.587009226271222,0,0.0,1.0,0,0.0,0.9527789013158847,2,2.0,0.00038051787165648655,0,0.0,0.9423706506023404,1,15.0,0.49843887265466275,0,0.0,1.0,0,0.0,1.0,1,25.0,0.0,1,13.0,0.0,0,0.0,0.9088302237261803,0,0.0,1.0,0,0.0,0.9770143355797299,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,1.0,0.9599048202941255,5,56.0
160.0,3,55.0,3.235294117647059,9.71837458461119,0,0.0,1.0,0,0.0,0.9563355495401447,1,9.0,0.559746106141736,0,0.0,0.9492493072675198,0,0.0,0.9179966207316277,0,0.0,1.0,0,0.0,1.0,1,30.0,0.0,1,18.0,0.0,0,0.0,0.966777625756637,0,0.0,1.0,0,0.0,0.907646790066792,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,1.0,0.7095383728526852,3,58.0
165.0,3,70.0,4.117647058823529,9.017221261126554,0,0.0,1.0,0,0.0,0.45022523585426705,1,14.0,0.7222472477410398,0,0.0,0.5470452353363418,0,0.0,0.6250127030493291,0,2.0,0.9412063771253971,0,0.0,1.0,1,35.0,0.0,1,23.0,0.0,0,0.0,0.9214180012228294,0,0.0,1.0,0,0.0,0.9575742306537969,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,1.0,0.9421578046400785,3,75.0
170.0,9,101.0,5.9411764705882355,5.398922646348886,0,0.0,1.0,2,7.0,0.0005070490076394913,1,19.0,0.7232412455626349,1,5.0,0.49178287073396754,1,2.0,0.0007531803922578264,0,2.0,0.9760891445710702,0,0.0,1.0,1,40.0,0.0,1,28.0,0.0,0,0.0,1.0,0,0.0,1.0,1,2.0,0.0018839680566832037,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,1.0,0.4652248156309084,9,106.0
175.0,10,145.0,8.055555555555555,5.004691420168462,0,0.0,1.0,2,17.0,0.0,1,24.0,0.7128901995757002,2,11.0,0.0012195253569068406,1,7.0,0.0,0,2.0,0.9710858810672117,0,0.0,1.0,1,45.0,0.07669139599801693,1,33.0,0.0,0,0.0,1.0,0,0.0,1.0,1,7.0,0.0,0,0.0,1.0,0,1.0,0.933088320351163,0,0.0,1.0,1,4.0,0.5793008671641496,10,151.0
180.0,7,156.0,7.428571428571429,5.119036486445829,0,0.0,0.16085325395570343,0,10.0,0.17914038516860697,1,29.0,0.25299152864040453,2,21.0,0.0,1,12.0,0.0,0,2.0,0.9826160365837562,0,0.0,1.0,1,50.0,0.45276889030701273,1,38.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.551205177551866,0,1.0,0.6605173003388065,0,0.0,1.0,1,9.0,0.4160479051640256,7,172.0
185.0,11,202.0,9.619047619047619,6.0099706453082415,0,0.0,0.9512890361646575,0,0.0,1.0,3,39.0,0.0007382722560314698,2,31.0,0.0,1,17.0,0.0,1,6.0,0.5793196355818263,0,0.0,0.9362579138667848,1,55.0,0.4867723937863133,1,43.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9489375362991121,0,1.0,0.9769316156817076,0,0.0,1.0,2,20.0,0.4639137573486529,11,212.0
190.0,9,214.0,9.727272727272727,6.636075766424806,0,0.0,0.9515825815267324,0,0.0,1.0,3,54.0,3.526445658822698e-06,1,16.0,0.25614374180336247,1,22.0,0.0,1,11.0,0.6064536356719364,0,0.0,0.9740766475724686,1,60.0,0.484004563099157,1,48.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9457071544684748,0,1.0,0.9499795317700866,0,0.0,1.0,1,11.0,0.6481848192293382,9,223.0
195.0,8,247.0,11.227272727272727,7.74296487035015,0,0.0,0.9056916231561825,0,0.0,1.0,3,69.0,0.0,1,21.0,0.4688865030790773,1,27.0,0.0,0,2.0,0.904038816629962,0,0.0,0.9686522760570354,1,67.0,0.6363914276768242,1,53.0,0.0,0,0.0,1.0,0,0.0,1.0,0,2.0,0.9428054933284544,0,0.0,0.9789693430792908,0,1.0,0.9552424311785647,0,0.0,1.0,1,16.0,0.5964762254681455,8,258.0
200.0,7,268.0,11.652173913043478,6.9738394189789155,0,0.0,0.9192746168320411,0,0.0,0.23556392830208794,3,84.0,0.0,1,26.0,0.4532524663547061,1,32.0,0.0,0,2.0,0.9249541504187533,0,2.0,0.9637638734076641,1,72.0,0.39261241013350395,1,58.0,0.0,0,0.0,1.0,0,0.0,1.0,0,2.0,0.9767394912324234,0,0.0,1.0,0,0.0,0.30137531245513055,0,0.0,1.0,0,2.0,0.9801565813515831,7,280.0
205.0,7,212.0,8.833333333333334,6.764367415932003,0,0.0,0.9705835749504308,0,0.0,0.7356715224350364,0,44.0,0.13758527260054487,1,31.0,0.4628091089972698,2,37.0,0.0,0,2.0,0.10530749315129286,0,2.0,0.9792279829799299,2,80.0,0.308318560576559,1,63.0,0.47900879671297986,0,0.0,1.0,0,0.0,1.0,0,5.0,0.8906892590452733,0,0.0,1.0,1,3.0,4.292759275160065e-05,0,0.0,1.0,0,0.0,1.0,7,267.0
210.0,7,243.0,10.125,8.323728371003352,0,0.0,1.0,0,0.0,0.9372607986957794,0,0.0,1.0,1,36.0,0.4578191993712975,1,42.0,0.5375343021994347,2,11.0,0.000414039459327149,0,4.0,0.8956960692948832,1,82.0,0.45258082819135254,1,68.0,0.4609726135145417,0,0.0,1.0,0,0.0,0.9129612272045601,0,5.0,0.9670999702604602,0,0.0,1.0,1,8.0,0.0,0,0.0,1.0,0,0.0,1.0,7,256.0
